RowId,Location
1,66
2,39
3,30
4,37
5,61
6,39
7,74
8,40
9,37
10,38
11,22
12,36
13,56
14,29
15,79
16,28
17,37
18,24
19,15
20,24
21,50
22,53
23,64
24,77
25,33
26,75
27,48
28,71
29,49
30,83
31,69
32,37
33,26
34,38
35,60
36,37
37,73
38,36
39,32
40,38
41,20
42,38
43,56
44,30
45,79
46,28
47,36
48,30
49,14
50,32
51,49
52,59
53,64
54,76
55,35
56,77
57,49
58,73
59,49
60,87
61,66
62,38
63,31
64,39
65,60
66,39
67,73
68,36
69,39
70,39
71,25
72,38
73,57
74,30
75,77
76,28
77,39
78,30
79,20
80,32
81,48
82,57
83,62
84,76
85,37
86,76
87,50
88,73
89,49
90,83
91,67
92,38
93,31
94,40
95,58
96,40
97,73
98,40
99,36
100,42
101,24
102,42
103,55
104,32
105,77
106,30
107,36
108,30
109,18
110,36
111,48
112,53
113,64
114,78
115,35
116,78
117,49
118,71
119,49
120,82
121,68
122,38
123,28
124,39
125,61
126,38
127,74
128,38
129,36
130,39
131,23
132,40
133,60
134,29
135,82
136,27
137,37
138,28
139,14
140,30
141,48
142,54
143,64
144,78
145,35
146,76
147,48
148,71
149,49
150,86
151,68
152,38
153,28
154,38
155,60
156,37
157,75
158,40
159,36
160,37
161,21
162,39
163,57
164,30
165,81
166,32
167,40
168,30
169,15
170,30
171,48
172,51
173,66
174,75
175,35
176,77
177,49
178,73
179,50
180,85
181,67
182,35
183,26
184,36
185,61
186,36
187,75
188,36
189,34
190,36
191,16
192,36
193,57
194,27
195,78
196,25
197,38
198,25
199,8
200,27
201,52
202,57
203,62
204,76
205,30
206,78
207,51
208,73
209,49
210,83
211,67
212,37
213,29
214,37
215,61
216,38
217,74
218,38
219,34
220,36
221,22
222,36
223,55
224,32
225,80
226,31
227,39
228,31
229,15
230,31
231,51
232,53
233,64
234,74
235,33
236,75
237,51
238,70
239,51
240,84
241,64
242,40
243,32
244,38
245,58
246,40
247,71
248,40
249,38
250,38
251,25
252,38
253,56
254,30
255,79
256,32
257,42
258,30
259,17
260,31
261,46
262,58
263,62
264,76
265,33
266,76
267,47
268,71
269,47
270,86
271,66
272,36
273,30
274,36
275,60
276,39
277,73
278,38
279,37
280,36
281,22
282,36
283,59
284,26
285,80
286,29
287,38
288,26
289,19
290,29
291,49
292,55
293,64
294,74
295,33
296,74
297,48
298,66
299,49
300,82
301,68
302,38
303,30
304,36
305,63
306,40
307,75
308,40
309,37
310,38
311,24
312,36
313,61
314,33
315,82
316,32
317,39
318,31
319,16
320,28
321,50
322,53
323,62
324,79
325,33
326,78
327,48
328,73
329,47
330,87
331,66
332,38
333,32
334,38
335,60
336,38
337,73
338,40
339,37
340,39
341,24
342,38
343,57
344,30
345,79
346,32
347,42
348,30
349,16
350,32
351,51
352,63
353,62
354,78
355,35
356,78
357,51
358,74
359,50
360,80
361,67
362,38
363,31
364,37
365,60
366,39
367,73
368,36
369,35
370,36
371,24
372,37
373,58
374,30
375,77
376,28
377,36
378,31
379,19
380,29
381,47
382,69
383,60
384,77
385,33
386,77
387,47
388,75
389,47
390,87
391,66
392,36
393,26
394,36
395,61
396,36
397,73
398,38
399,33
400,37
401,21
402,36
403,56
404,25
405,79
406,28
407,35
408,24
409,12
410,26
411,45
412,64
413,60
414,74
415,31
416,72
417,47
418,72
419,45
420,80
421,67
422,38
423,30
424,38
425,60
426,41
427,75
428,40
429,38
430,40
431,24
432,39
433,55
434,32
435,83
436,34
437,42
438,31
439,16
440,30
441,46
442,61
443,62
444,82
445,29
446,79
447,47
448,77
449,47
450,86
451,67
452,36
